,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kaeo,100.0,NZ,2019-08-24 14:26:31,100.0,-35.1,173.78,51.00800000000001,1.006623
1,port alfred,0.0,ZA,2019-08-24 14:26:31,78.0,-33.59,26.89,64.00400000000005,1.9908766000000002
2,praia da vitoria,20.0,PT,2019-08-24 14:26:32,69.0,38.73,-27.07,73.4,12.862405
3,khatanga,69.0,RU,2019-08-24 14:26:32,93.0,71.98,102.47,50.352800000000045,7.806920600000001
4,rovaniemi,20.0,FI,2019-08-24 14:26:32,76.0,66.5,25.72,51.8,5.816044000000001
5,jamestown,0.0,AU,2019-08-24 14:22:01,95.0,-33.21,138.6,38.29280000000007,5.0554844
6,tuktoyaktuk,90.0,CA,2019-08-24 14:26:32,93.0,69.44,-133.03,39.2,17.224438000000003
7,atherton,90.0,AU,2019-08-24 14:23:43,82.0,-17.27,145.48,64.4,10.289924
8,kodiak,75.0,US,2019-08-24 14:26:33,61.0,39.95,-94.76,78.00800000000001,14.987498000000002
9,alofi,6.0,NU,2019-08-24 14:26:33,83.0,-19.06,-169.92,78.80000000000001,5.816044000000001
10,atuona,53.0,PF,2019-08-24 14:26:33,74.0,-9.8,-139.03,78.4328000000001,13.980875000000001
11,dikson,83.0,RU,2019-08-24 14:26:34,97.0,73.51,80.55,41.17280000000001,12.7058192
12,harper,1.0,US,2019-08-24 14:26:34,55.0,30.3,-99.24,93.00200000000008,4.697574
13,ginir,19.0,ET,2019-08-24 14:26:34,82.0,7.14,40.71,61.69280000000007,4.9883762
14,shimoda,98.0,JP,2019-08-24 14:26:34,3.0,34.7,138.93,75.99199999999999,10.7596814
15,whitehorse,90.0,CA,2019-08-24 14:26:35,87.0,60.72,-135.06,48.00200000000008,8.052984
16,hasaki,75.0,JP,2019-08-24 14:26:35,94.0,35.73,140.83,73.4,5.816044000000001
17,klaksvik,97.0,FO,2019-08-24 14:26:35,100.0,62.23,-6.59,51.8,12.750558000000002
18,new norfolk,40.0,AU,2019-08-24 14:26:35,60.0,-42.78,147.06,42.998000000000026,5.816044000000001
19,luderitz,0.0,NA,2019-08-24 14:26:36,15.0,-26.65,15.16,80.6,10.289924
20,bluff,0.0,AU,2019-08-24 14:26:36,88.0,-23.58,149.07,53.59280000000007,5.1673314
21,vaini,93.0,IN,2019-08-24 14:26:36,91.0,15.34,74.49,76.27280000000002,3.6462122
22,busselton,100.0,AU,2019-08-24 14:26:36,58.0,-33.64,115.35,44.99600000000005,11.184700000000001
23,carnarvon,0.0,ZA,2019-08-24 14:26:37,17.0,-30.97,22.13,64.5728,12.2360618
24,bethel,90.0,US,2019-08-24 14:24:29,81.0,60.79,-161.76,53.6,5.816044000000001
25,saskylakh,61.0,RU,2019-08-24 14:26:37,87.0,71.97,114.09,46.21280000000003,5.010745600000001
26,chapais,1.0,CA,2019-08-24 14:26:37,40.0,49.78,-74.86,69.80000000000001,3.35541
27,batagay,5.0,RU,2019-08-24 14:26:38,72.0,67.65,134.64,51.25280000000005,1.230317
28,bredasdorp,0.0,ZA,2019-08-24 14:26:38,87.0,-34.53,20.04,55.99400000000007,2.23694
29,ushuaia,75.0,AR,2019-08-24 14:26:38,66.0,-54.81,-68.31,48.2,12.750558000000002
30,bambous virieux,75.0,MU,2019-08-24 14:26:38,88.0,-20.34,57.76,69.80000000000001,3.35541
31,upernavik,39.0,GL,2019-08-24 14:26:39,62.0,72.79,-56.15,42.79280000000007,6.554234200000001
32,cape town,20.0,ZA,2019-08-24 14:22:55,93.0,-33.93,18.42,60.00800000000001,17.224438000000003
33,punta arenas,75.0,CL,2019-08-24 14:25:31,75.0,-53.16,-70.91,46.4,10.289924
34,kachug,100.0,RU,2019-08-24 14:26:39,93.0,53.96,105.89,52.69280000000007,4.0936002
35,lakes entrance,83.0,AU,2019-08-24 14:26:39,79.0,-37.88,147.99,46.99400000000007,1.006623
36,kapaa,75.0,US,2019-08-24 14:23:48,70.0,22.08,-159.32,87.80000000000001,11.408394
37,wageningen,40.0,NL,2019-08-24 14:26:40,53.0,51.98,5.66,80.00600000000003,2.23694
38,arlit,82.0,NE,2019-08-24 14:26:40,33.0,18.74,7.39,94.99280000000007,10.3570322
39,tiksi,100.0,RU,2019-08-24 14:26:41,96.0,71.64,128.87,48.19280000000007,2.9751302
40,bilma,95.0,NE,2019-08-24 14:26:41,31.0,18.69,12.92,94.99280000000007,4.787051600000001
41,puerto ayora,20.0,EC,2019-08-24 14:26:41,65.0,-0.74,-90.35,80.6,10.289924
42,ponta do sol,0.0,BR,2019-08-24 14:26:41,27.0,-20.63,-46.0,76.81280000000004,7.3371632
43,quatre cocos,75.0,MU,2019-08-24 14:26:41,88.0,-20.21,57.76,69.80000000000001,3.35541
44,port blair,100.0,IN,2019-08-24 14:26:42,82.0,11.67,92.75,82.0328000000001,22.168075400000003
45,saint-augustin,20.0,CA,2019-08-24 14:26:42,56.0,45.63,-73.98,73.00400000000005,3.35541
46,tommot,92.0,RU,2019-08-24 14:26:42,94.0,58.97,126.27,52.15280000000005,1.3197946
47,rikitea,80.0,PF,2019-08-24 14:26:43,68.0,-23.12,-134.97,70.33280000000009,20.9601278
48,aksha,49.0,RU,2019-08-24 14:26:43,93.0,50.28,113.29,51.07280000000001,1.9908766000000002
49,nishihara,75.0,JP,2019-08-24 14:26:43,88.0,35.74,139.53,77.0,11.408394
50,barrow,100.0,AR,2019-08-24 14:26:43,50.0,-38.31,-60.23,64.0328000000001,15.479624800000002
51,waipawa,0.0,NZ,2019-08-24 14:26:44,83.0,-39.94,176.59,48.992,7.0016222
52,hobart,40.0,AU,2019-08-24 14:26:44,60.0,-42.88,147.33,42.998000000000026,5.816044000000001
53,port-cartier,20.0,CA,2019-08-24 14:26:44,52.0,50.03,-66.88,66.2,11.408394
54,trofors,100.0,NO,2019-08-24 14:26:45,77.0,65.54,13.39,59.0,4.697574
55,galle,98.0,GN,2019-08-24 14:26:45,92.0,10.08,-12.83,73.39280000000008,7.605596
56,hobyo,84.0,SO,2019-08-24 14:26:45,76.0,5.35,48.53,77.35280000000006,26.194567400000004
57,monrovia,75.0,LR,2019-08-24 14:26:45,94.0,6.33,-10.8,78.80000000000001,9.6859502
58,east london,0.0,ZA,2019-08-24 14:26:46,40.0,-33.02,27.91,71.6,6.934514000000001
59,rio gallegos,40.0,AR,2019-08-24 14:26:46,61.0,-51.62,-69.22,50.0,6.934514000000001
60,vutcani,0.0,RO,2019-08-24 14:26:46,48.0,46.46,27.95,75.19280000000006,8.903021200000001
61,lebu,75.0,ET,2019-08-24 14:26:46,87.0,8.96,38.73,57.2,8.052984
62,nouadhibou,16.0,MR,2019-08-24 14:26:47,78.0,20.93,-17.03,75.2,10.289924
63,asosa,66.0,ET,2019-08-24 14:26:47,93.0,10.07,34.53,63.312800000000024,3.5791040000000005
64,iskateley,31.0,RU,2019-08-24 14:26:47,94.0,67.68,53.15,39.19280000000007,7.046361
65,albany,40.0,US,2019-08-24 14:26:48,49.0,42.65,-73.75,75.00200000000008,11.408394
66,twin falls,1.0,US,2019-08-24 14:26:48,20.0,42.57,-114.46,93.00200000000008,8.052984
67,portage,1.0,US,2019-08-24 14:21:53,46.0,41.58,-87.18,75.99199999999999,8.052984
68,kavaratti,98.0,IN,2019-08-24 14:26:48,80.0,10.57,72.64,82.0328000000001,15.479624800000002
69,alekseyevka,0.0,RU,2019-08-24 14:26:49,67.0,53.25,50.49,60.8,4.47388
70,mayo,75.0,CA,2019-08-24 14:26:49,57.0,63.59,-135.9,50.0,2.23694
71,hovd,40.0,NO,2019-08-24 14:26:49,82.0,63.83,10.7,60.998000000000026,3.35541
72,saint george,0.0,GR,2019-08-24 14:26:49,50.0,39.45,22.34,84.99199999999999,3.8475368000000003
73,severo-kurilsk,100.0,RU,2019-08-24 14:26:50,92.0,50.68,156.12,47.65280000000005,25.120836200000003
74,cabo san lucas,40.0,MX,2019-08-24 14:24:49,78.0,22.89,-109.91,89.00600000000003,12.750558000000002
75,jumla,37.0,NP,2019-08-24 14:26:50,96.0,29.28,82.18,52.51280000000003,1.901399
76,formosa do rio preto,53.0,BR,2019-08-24 14:26:51,19.0,-11.04,-45.19,93.73280000000008,8.6569578
77,geraldton,75.0,CA,2019-08-24 14:23:52,55.0,49.72,-86.95,66.2,8.052984
78,mattawa,40.0,CA,2019-08-24 14:26:51,52.0,46.32,-78.7,73.00400000000005,10.289924
79,victoria,75.0,BN,2019-08-24 14:22:25,83.0,5.28,115.24,80.6,8.052984
80,castro,75.0,CL,2019-08-24 14:21:55,76.0,-42.48,-73.76,51.8,12.750558000000002
81,faanui,68.0,PF,2019-08-24 14:26:51,71.0,-16.48,-151.75,77.71280000000003,7.9858758000000005
82,mataura,77.0,NZ,2019-08-24 14:26:52,88.0,-46.19,168.86,42.998000000000026,1.9908766000000002
83,umm lajj,0.0,SA,2019-08-24 14:26:52,67.0,25.02,37.27,87.9728,7.3371632
84,chokurdakh,94.0,RU,2019-08-24 14:22:51,69.0,70.62,147.9,54.13280000000009,5.391025400000001
85,hermanus,0.0,ZA,2019-08-24 14:26:53,95.0,-34.42,19.24,66.00200000000008,21.8996426
86,mar del plata,59.0,AR,2019-08-24 14:26:53,39.0,-46.43,-67.52,58.812800000000024,24.1813214
87,weihai,0.0,CN,2019-08-24 14:26:53,60.0,37.5,122.11,80.00600000000003,5.569980600000001
88,kruisfontein,0.0,ZA,2019-08-24 14:26:53,76.0,-34.0,24.73,57.19280000000007,5.860782800000001
89,airai,31.0,TL,2019-08-24 14:26:54,67.0,-8.93,125.41,66.01280000000003,4.451510600000001
90,karasjok,44.0,NO,2019-08-24 14:26:54,75.0,69.47,25.52,44.6,5.816044000000001
91,butaritari,59.0,KI,2019-08-24 14:26:54,70.0,3.07,172.79,84.19280000000006,6.598973000000001
92,sao filipe,80.0,CV,2019-08-24 14:26:54,84.0,14.9,-24.5,78.25280000000005,11.4531328
93,fort nelson,40.0,CA,2019-08-24 14:26:55,67.0,58.81,-122.69,59.0,3.35541
94,bathsheba,40.0,BB,2019-08-24 14:26:55,66.0,13.22,-59.52,87.80000000000001,18.342908
95,naze,100.0,NG,2019-08-24 14:26:55,94.0,5.43,7.07,73.21280000000003,5.5028724
96,iqaluit,75.0,CA,2019-08-24 14:26:56,57.0,63.75,-68.52,50.0,2.23694
97,georgetown,20.0,GY,2019-08-24 14:26:56,70.0,6.8,-58.16,86.0,13.869028000000002
98,hofn,100.0,IS,2019-08-24 14:26:56,90.0,64.25,-15.21,40.812800000000024,15.7927964
99,tartagal,0.0,AR,2019-08-24 14:26:56,42.0,-22.52,-63.8,86.0,11.408394
100,saint anthony,1.0,US,2019-08-24 14:26:57,19.0,43.97,-111.68,80.99600000000005,13.869028000000002
101,westport,20.0,US,2019-08-24 14:26:57,41.0,41.14,-73.36,78.00800000000001,11.408394
102,banda aceh,95.0,ID,2019-08-24 14:25:03,89.0,5.56,95.32,78.61280000000002,26.463000200000003
103,pisco,20.0,PE,2019-08-24 14:26:58,30.0,-13.71,-76.2,71.6,11.408394
104,constitucion,75.0,MX,2019-08-24 14:26:58,46.0,23.99,-104.67,77.0,5.816044000000001
105,xixiang,0.0,CN,2019-08-24 14:26:58,79.0,22.58,113.87,84.2,6.71082
106,maralal,79.0,KE,2019-08-24 14:26:58,69.0,1.1,36.7,66.55280000000005,10.5583568
107,robertsport,100.0,LR,2019-08-24 14:26:59,88.0,6.75,-11.37,76.45280000000005,8.388525000000001
108,hualmay,53.0,PE,2019-08-24 14:26:59,88.0,-11.1,-77.61,59.17280000000001,10.3570322
109,lompoc,1.0,US,2019-08-24 14:26:05,68.0,34.64,-120.46,80.99600000000005,14.987498000000002
110,mahebourg,75.0,MU,2019-08-24 14:26:59,88.0,-20.41,57.7,69.80000000000001,3.35541
111,hervey bay,0.0,AU,2019-08-24 14:27:00,93.0,-25.3,152.85,53.00600000000003,2.23694
112,tuatapere,87.0,NZ,2019-08-24 14:27:00,88.0,-46.13,167.69,42.998000000000026,1.9908766000000002
113,touros,75.0,BR,2019-08-24 14:27:01,74.0,-5.2,-35.46,80.6,16.105968
114,axim,98.0,GH,2019-08-24 14:27:01,90.0,4.87,-2.24,75.91280000000003,11.721565600000002
115,hilo,90.0,US,2019-08-24 14:27:01,69.0,19.71,-155.08,82.4,12.974252
116,san cristobal,29.0,HN,2019-08-24 14:27:02,36.0,14.68,-86.92,87.9728,9.1043458
117,zhangye,5.0,CN,2019-08-24 14:27:02,37.0,38.94,100.46,67.63280000000009,4.7423128000000005
118,llanes,45.0,ES,2019-08-24 14:27:02,96.0,43.42,-4.75,69.00800000000001,8.1872004
119,russell,90.0,US,2019-08-24 14:27:03,73.0,38.9,-98.86,78.99800000000002,14.987498000000002
120,kaitangata,55.0,NZ,2019-08-24 14:27:03,66.0,-46.28,169.85,44.00600000000003,4.0041226000000005
121,meulaboh,100.0,ID,2019-08-24 14:27:03,91.0,4.14,96.13,75.37280000000001,5.2120702
122,panorama,0.0,BR,2019-08-24 14:27:04,19.0,-21.35,-51.86,88.15280000000004,7.717443000000001
123,taksimo,37.0,RU,2019-08-24 14:26:21,89.0,56.36,114.84,49.272800000000004,0.8052984
124,carauari,35.0,BR,2019-08-24 14:27:04,37.0,-4.88,-66.9,96.79280000000007,0.8052984
125,hay river,75.0,CA,2019-08-24 14:27:04,82.0,60.82,-115.79,59.0,5.816044000000001
126,norman wells,75.0,CA,2019-08-24 14:27:05,76.0,65.28,-126.83,50.0,14.987498000000002
127,itaituba,20.0,BR,2019-08-24 14:27:05,53.0,-4.26,-55.99,95.0,8.052984
128,qarqin,0.0,AF,2019-08-24 14:27:05,17.0,37.41,66.03,75.91280000000003,6.330540200000001
129,russkiy kameshkir,0.0,RU,2019-08-24 14:27:05,65.0,52.86,46.09,58.45280000000005,3.0422384000000005
130,palimbang,75.0,PH,2019-08-24 14:27:06,100.0,14.9,120.78,77.0,2.23694
131,kumba,87.0,CM,2019-08-24 14:27:06,84.0,4.64,9.44,74.65280000000004,4.47388
132,brae,100.0,GB,2019-08-24 14:27:06,82.0,60.4,-1.35,59.0,13.869028000000002
133,dongsheng,9.0,CN,2019-08-24 14:27:07,70.0,29.72,112.52,78.4328000000001,6.8002976
134,turukhansk,100.0,RU,2019-08-24 14:27:07,72.0,65.8,87.96,55.392800000000065,6.956883400000001
135,port elizabeth,90.0,US,2019-08-24 14:27:07,39.0,39.31,-74.98,80.00600000000003,9.171454
136,oranjemund,0.0,ZA,2019-08-24 14:27:08,56.0,-28.55,16.43,62.95280000000005,7.270055
137,saldanha,95.0,PT,2019-08-24 14:27:08,24.0,41.42,-6.55,88.33280000000009,14.092722
138,vakhrushevo,0.0,RU,2019-08-24 14:27:08,87.0,55.23,61.73,50.0,8.94776
139,forssa,0.0,FI,2019-08-24 14:27:08,77.0,60.82,23.63,59.0,4.697574
140,rocha,96.0,UY,2019-08-24 14:27:09,65.0,-34.48,-54.34,58.812800000000024,8.7016966
141,apodi,6.0,BR,2019-08-24 14:27:09,21.0,-5.66,-37.8,95.89280000000008,10.066230000000001
142,hithadhoo,100.0,MV,2019-08-24 14:27:09,68.0,-0.6,73.08,83.29280000000007,8.724066
143,havoysund,81.0,NO,2019-08-24 14:27:10,80.0,71.0,24.66,41.0,4.697574
144,eureka,1.0,US,2019-08-24 14:27:10,72.0,40.8,-124.16,86.0,5.816044000000001
145,kachiry,71.0,KZ,2019-08-24 14:27:10,73.0,53.07,76.1,65.29280000000007,7.7845512
146,saint-philippe,20.0,CA,2019-08-24 14:27:10,56.0,45.36,-73.48,73.00400000000005,3.35541
147,morro bay,90.0,US,2019-08-24 14:25:25,82.0,35.37,-120.85,89.00600000000003,8.052984
148,deputatskiy,81.0,RU,2019-08-24 14:27:11,83.0,69.3,139.9,49.09280000000007,2.3264176
149,zhigansk,26.0,RU,2019-08-24 14:23:22,84.0,66.77,123.37,49.09280000000007,4.6304658
150,katsuura,75.0,JP,2019-08-24 14:22:41,83.0,33.93,134.5,71.99600000000005,6.934514000000001
151,mehamn,90.0,NO,2019-08-24 14:27:11,71.0,71.03,27.85,40.99280000000007,7.471379600000001
152,ocotlan,75.0,MX,2019-08-24 14:24:37,60.0,20.35,-102.77,73.99400000000009,1.0961006
153,mus,0.0,FR,2019-08-24 14:27:12,57.0,43.74,4.2,82.4,8.052984
154,ribeira grande,20.0,PT,2019-08-24 14:22:18,64.0,38.52,-28.7,73.4,13.869028000000002
155,coahuayana,84.0,MX,2019-08-24 14:27:12,69.0,18.62,-100.35,84.19280000000006,2.9527608000000005
156,petrolina,20.0,BR,2019-08-24 14:27:12,27.0,-9.38,-40.5,91.4,13.869028000000002
157,zhicheng,95.0,CN,2019-08-24 14:27:13,58.0,35.04,112.59,76.09280000000007,6.666081200000001
158,avarua,47.0,CK,2019-08-24 14:27:13,83.0,-21.21,-159.78,75.2,8.052984
159,black river,20.0,JM,2019-08-24 14:27:13,74.0,18.03,-77.85,87.80000000000001,18.342908
160,alapur,66.0,IN,2019-08-24 14:27:14,82.0,27.96,79.23,82.75280000000005,7.0239916000000004
161,chodavaram,100.0,IN,2019-08-24 14:27:14,93.0,17.44,81.78,71.95280000000005,4.3396636
162,tutayev,0.0,RU,2019-08-24 14:27:14,87.0,57.89,39.54,59.0,8.94776
163,cayenne,56.0,GF,2019-08-24 14:27:15,62.0,4.94,-52.33,87.80000000000001,6.934514000000001
164,lasa,20.0,CY,2019-08-24 14:27:15,94.0,34.92,32.53,82.4,8.052984
165,pevek,58.0,RU,2019-08-24 14:27:15,79.0,69.7,170.27,41.892800000000065,2.2145706
166,yulara,0.0,AU,2019-08-24 14:27:15,57.0,-25.24,130.99,51.8,6.934514000000001
167,port augusta,90.0,AU,2019-08-24 14:24:58,71.0,-32.49,137.76,50.0,9.171454
168,kenai,40.0,US,2019-08-24 14:27:16,51.0,60.55,-151.26,60.998000000000026,8.052984
169,canto do buriti,33.0,BR,2019-08-24 14:27:16,21.0,-8.11,-42.94,93.55280000000005,8.7016966
170,isiro,52.0,CD,2019-08-24 14:27:17,94.0,2.77,27.62,69.9728,3.1988242000000002
171,evensk,100.0,RU,2019-08-24 14:27:17,98.0,61.92,159.24,50.892800000000065,7.471379600000001
172,esperance,40.0,AU,2019-08-24 14:27:17,81.0,-33.86,121.89,42.8,8.052984
173,qaanaaq,94.0,GL,2019-08-24 14:27:17,62.0,77.48,-69.36,37.57280000000001,27.380145600000002
174,makakilo city,75.0,US,2019-08-24 14:27:18,69.0,21.35,-158.09,86.0,9.171454
175,comodoro rivadavia,0.0,AR,2019-08-24 14:27:18,36.0,-45.87,-67.48,64.4,17.224438000000003
176,vila,0.0,IT,2019-08-24 14:27:18,54.0,45.18,8.4,80.6,5.816044000000001
177,son la,0.0,VN,2019-08-24 14:22:55,92.0,21.32,103.9,66.91280000000003,0.44738800000000006
178,santa marta,40.0,CO,2019-08-24 14:27:18,66.0,11.24,-74.21,89.6,5.816044000000001
179,eucaliptus,13.0,BO,2019-08-24 14:27:19,19.0,-17.6,-67.51,58.992800000000074,6.3529096
180,okhotsk,87.0,RU,2019-08-24 14:27:19,94.0,59.36,143.24,52.69280000000007,4.7423128000000005
181,krasnyy yar,27.0,RU,2019-08-24 14:27:19,64.0,50.7,44.73,67.99280000000007,5.7265664
182,aleksandriya,100.0,RU,2019-08-24 14:27:19,48.0,45.09,43.24,76.45280000000005,3.7804286
183,perpignan,0.0,FR,2019-08-24 14:27:20,73.0,42.7,2.88,80.00600000000003,5.816044000000001
184,teya,75.0,MX,2019-08-24 14:27:20,52.0,21.05,-89.07,96.99800000000003,5.816044000000001
185,sinnamary,61.0,GF,2019-08-24 14:27:20,68.0,5.38,-52.96,83.11280000000002,8.0306146
